order_id,weight (lbs),volume (in3)
21652,903.894,3828.828
21653,469.584,2443.644
21654,2204.62,12653.933
21655,262.35,758.65
21656,330.693,889.73
21657,839.96,4745.225
21658,330.693,889.73
21659,460.766,2665.528
21660,295.419,2952.584
21661,99.208,1647.648
21662,1124.356,12448.892
21663,703.274,3519.131
21664,231.485,1408.922
21665,165.346,3280.649
21666,771.617,4018.063
21667,231.485,1408.922
21668,771.617,3331.909
21669,830.0,207360.0
21670,20.0,27648.0
21671,793.663,9373.284
21672,22.046,843.596
21673,52.0,20096.0
21674,52.0,20096.0
21675,11.0,10512.0
21676,264.554,2466.894
21677,130.0,14580.0
21678,114.0,20100.0
21679,1448.435,8553.426
21680,936.963,2249.588
21681,469.584,3604.748
21682,110.231,1265.393
21683,606.27,2265.515
21684,291.01,1546.592
21685,780.435,5849.149
21686,376.99,2366.327
21687,39.683,144.505
21688,9982.519,50615.732
21689,914.917,6326.966
21690,873.03,4046.988
21691,440.924,76.28
21692,570.997,4499.176
21693,110.231,1265.393
21694,81.571,1589.065
21695,33.069,1038.018
21696,562.178,846.708
21697,551.155,1286.386
21698,229.28,237.261
21699,4623.088,13570.025
21700,55.115,1269.299
21701,476.198,2343.321
21702,485.016,3514.981
21703,1876.132,7095.38
21704,661.386,4229.694
21705,154.323,2636.236
21706,496.039,1922.255
21707,220.462,2283.639
21708,132.277,2484.652
21709,718.706,3045.036
21710,238.099,6.591
21711,260.145,7.201
21712,1851.881,4510.893
21713,385.808,1080.857
21714,654.772,2793.8
21715,582.02,1965.949
21716,271.168,1503.204
21717,582.02,1965.949
21718,542.337,1524.928
21719,299.828,742.54
21720,1472.686,3161.042
21721,1324.977,4691.402
21722,286.601,1665.955
21723,1358.046,7381.461
21724,1223.564,7597.913
21725,299.828,742.54
21726,518.086,3414.048
21727,11975.496,28133.643
21728,249.0,45753.0
21729,40.0,21952.0
21730,435.0,87912.0
21731,1678.0,320544.0
21732,335.0,52728.0
21733,729.729,4448.648
21734,1250.0,518400.0
21735,738.548,3217.673
21736,297.624,1076.463
21737,906.099,14059.926
21738,582.02,1952.157
21739,2910.098,24713.248
21740,302.033,2667.358
21741,330.693,256.301
21742,1662.283,14059.926
21743,357.148,1850.247
21744,255.736,1382.498
21745,330.693,1237.566
21746,17.637,169.769
21747,324.079,4097.516
21748,17.637,169.769
21749,1371.274,21089.888
21750,1433.003,4477.269
21751,1322.772,10272.472
21752,8.818,147.678
21753,473.993,2066.028
21754,121.254,1206.078
21755,361.558,1002.136
21756,224.871,336.12
21757,623.907,6234.149
21758,985.465,5513.456
21759,551.155,4131.568
21760,275.577,1031.305
21761,140.0,23232.0
21762,396.832,122.048
21763,661.386,7381.461
21764,45.0,31200.0
21765,180.0,53912.0
21766,450.0,43516.0
21767,1746.059,8682.492
21768,385.808,1249.771
21769,551.155,1286.386
21770,917.122,5557.027
21771,273.373,2811.985
21772,10602.018,33650.088
21773,10511.628,50615.732
21774,77.162,474.522
21775,568.792,5676.695
21776,445.333,2792.03
21777,399.036,2087.02
21778,723.115,5331.055
21779,440.924,2709.465
21780,440.924,2709.465
21781,372.581,2366.327
21782,330.693,5228.535
21783,308.647,978.703
21784,3805.174,15590.041
21785,440.924,3783.487
21786,1477.095,3979.557
21787,992.079,2655.52
21788,451.947,1634.466
21789,405.65,1270.824
21790,310.851,2077.745
21791,2149.505,6579.057
21792,1080.264,3499.359
21793,282.191,2164.887
21794,63.934,1116.739
21795,264.554,411.912
21796,566.587,2792.03
21797,782.64,4800.146
21798,1183.881,5876.671
21799,485.016,6453.286
21800,120.0,78400.0
21801,160.0,17576.0
21802,414.469,949.045
21803,200.0,8000.0
21804,838.0,160272.0
21805,200.0,8000.0
21806,125.0,5000.0
21807,25.0,36000.0
21808,736.0,45792.0
21809,414.469,949.045
21810,330.693,1921.523
21811,120.0,3240.0
21812,600.0,137760.0
21813,742.957,5292.122
21814,1018.534,2305.181
21815,286.601,2343.321
21816,286.601,2343.321
21817,315.261,3220.846
21818,992.079,1722.341
21819,125.663,743.272
21820,1620.396,5249.039
21821,308.647,2660.951
21822,231.485,749.863
21823,511.472,3046.317
21824,529.109,2870.263
21825,330.693,874.84
21826,264.554,584.366
21827,1040.581,5272.472
21828,837.756,7826.326
21829,451.947,2505.34
21830,220.462,3661.439
21831,2204.62,4217.978
21832,350.535,1792.641
21833,855.393,3161.042
21834,73.0,22272.0
21835,225.0,39780.0
21836,3298.112,15008.971
21837,246.0,120360.0
21838,557.769,2792.03
21839,555.564,3374.382
21840,165.346,3327.028
21841,1040.581,5536.096
21842,216.053,274.608
21843,994.284,5623.421
21844,548.95,2792.03
21845,88.185,2688.961
21846,210.0,39150.0
21847,787.049,4103.619
21848,231.485,697.138
21849,308.647,929.517
21850,493.835,2275.462
21851,661.386,4668.335
21852,839.96,3588.21
21853,396.832,1906.206
21854,130.0,48000.0
21855,396.832,1906.206
21856,2204.62,12917.557
21857,1437.412,5331.055
21858,180.0,33048.0
21859,308.647,1417.709
21860,154.323,2471.471
21861,533.518,1551.047
21862,79941.726,50615.732
21863,374.785,7170.562
21864,357.148,1281.504
21865,1058.218,3171.721
21866,99.208,445.78
21867,2314.851,4378.471
21868,154.323,4435.223
21869,9991.338,50615.732
21870,469.584,2385.733
21871,462.97,2788.552
21872,44.092,1196.07
21873,696.66,717.642
21874,445.333,2792.03
21875,507.063,4027.583
21876,469.584,3413.01
21877,1051.604,1843.535
21878,88.185,1265.393
21879,1069.241,5702.081
21880,1851.881,10149.509
21881,2784.435,19310.917
21882,2425.082,14831.269
21883,1351.432,2553.671
21884,2881.438,8039.544
21885,1177.267,1840.972
21886,114.0,31488.0
21887,95.0,91000.0
21888,705.478,437.42
21889,4325.464,18192.775
21890,2345.716,8104.229
21891,1851.881,10149.509
21892,288.805,3327.028
21893,171.96,3243.852
21894,374.785,9846.586
21895,313.056,4797.95
21896,1347.023,7845.853
21897,2160.528,6998.718
21898,105.822,1933.24
21899,220.462,2108.989
21900,3110.719,4783.06
21901,1040.581,7073.9
21902,575.406,2697.626
21903,551.155,406.42
21904,297.624,617.868
21905,1851.881,10149.509
21906,451.947,2792.03
21907,233.69,1053.518
21908,1640.0,276480.0
21909,908.0,91507.0
21910,429.901,2123.635
21911,760.594,4237.505
21912,297.624,1076.463
21913,277.782,2003.539
21914,2866.006,4686.642
21915,242.508,622.445
21916,1829.835,19899.616
21917,266.759,1946.543
21918,1102.31,6458.778
21919,222.667,1178.617
21920,1058.218,3171.721
21921,947.987,5529.688
21922,1472.686,3161.042
21923,2425.082,10046.988
21924,260.145,366.144
21925,451.947,2505.34
21926,275.577,2768.048
21927,489.426,2792.03
21928,72.0,41800.0
21929,3527.392,19068.774
21930,2713.887,12230.976
21931,2597.042,7777.446
21932,1168.0,423654.0
21933,1102.31,6458.778
21934,242.508,1435.833
21935,1768.105,5584.122
21936,582.02,1514.005
21937,1102.31,1423.567
21938,1408.752,10828.095
21939,1851.881,10149.509
21940,1988.567,7371.697
21941,55.115,2196.863
21942,246.917,843.596
21943,3924.224,16039.788
21944,264.554,749.863
21945,925.94,4447.855
21946,293.0,70658.0
21947,196.0,95776.0
21948,168.0,31680.0
21949,270.0,91840.0
21950,925.94,4447.855
21951,1415.366,4455.239
21952,133.0,14700.0
21953,379.0,92160.0
21954,14.0,11448.0
21955,271.0,36094.0
21956,106.0,23916.0
21957,105.0,19575.0
21958,385.808,3224.263
21959,1091.287,1265.393
21960,205.03,1305.303
21961,537.927,3097.577
21962,363.762,2819.308
21963,745.162,3280.649
21964,462.97,5562.946
21965,1040.581,9560.749
21966,1025.148,5827.668
21967,149.914,1423.567
21968,848.779,7841.643
